"","iso","year","country","gbdRegion","neoMR","postneoMR","age1_5MR","under5MR","neoDeaths","postneoDeaths","age1_5Deaths","under5Deaths","anc1_coverage","anc4_coverage","contraception","hospital_beds_per1000","ifd_coverage","ldi_pc","sanitation","tfr","water","gdp_pc","sdi","hexp_pc","hexp_frac_ooc","universal_coverage","education"
"1","AFG",1970,"Afghanistan","Asia, South",104.38,88.980003,126.04,286.91,64710,49952,62417,177079,NA,NA,NA,NA,NA,1226.7686,NA,7.379831506,NA,1229.4385,0.116021396,NA,NA,NA,0.43357047
"2","AFG",1971,"Afghanistan","Asia, South",102.18,86.089996,120.79,278.59,64719,49586,61335,175639,NA,NA,NA,NA,NA,1217.5762,NA,7.375807546,NA,1174.9661,0.117740486,NA,NA,NA,0.454065541
"3","AFG",1972,"Afghanistan","Asia, South",99.970001,83.550003,115.4,270.35999,64660,49200,60262,174121,NA,NA,NA,NA,NA,1186.4983,NA,7.370801556,NA,1049.512,0.119009299,NA,NA,NA,0.475332671
"4","AFG",1973,"Afghanistan","Asia, South",98.169998,80.889999,110.32,262.56,64383,48009,60108,172500,NA,NA,NA,NA,NA,1166.74,NA,7.36420685,NA,1094.3055,0.120518713,NA,NA,NA,0.497321058
"5","AFG",1974,"Afghanistan","Asia, South",96.190002,78.529999,105.46,255,64203,47583,58961,170747,NA,NA,NA,NA,NA,1155.0304,NA,7.354586794,NA,1125.6793,0.122251039,NA,NA,NA,0.519776589
"6","AFG",1975,"Afghanistan","Asia, South",94.099998,76.099998,100.89,247.49001,63740,47053,57773,168566,NA,NA,NA,NA,NA,1151.6891,NA,7.342075497,NA,1161.9727,0.124257657,NA,NA,NA,0.543217661
"7","AFG",1976,"Afghanistan","Asia, South",92.059998,73.669998,96.400002,240.03,63039,46299,56530,165868,NA,NA,NA,NA,NA,1155.6218,NA,7.329028428,NA,1195.6195,0.126561805,NA,NA,NA,0.569434945
"8","AFG",1977,"Afghanistan","Asia, South",90.099998,71.349998,92.260002,232.97,62121,45365,55151,162637,NA,NA,NA,NA,NA,1144.2815,NA,7.315635617,NA,1109.7839,0.128499436,NA,NA,NA,0.596625537
"9","AFG",1978,"Afghanistan","Asia, South",88.220001,69.239998,87.980003,226.02,60995,44329,53655,158979,NA,NA,NA,NA,NA,1145.946,NA,7.301028619,NA,1170.1498,0.130798696,NA,NA,NA,0.624634817
"10","AFG",1979,"Afghanistan","Asia, South",86.25,66.879997,83.900002,218.89999,59558,43081,51902,154541,NA,NA,NA,NA,NA,1144.2004,NA,7.286450795,NA,1144.671,0.132556975,NA,NA,NA,0.646735701
