iso3,year,anc1_coverage,anc4_coverage,contraception,hospital_beds_per1000,ifd_coverage,ldi_pc,sanitation,tfr,water,gdp_pc,sdi,hexp_pc,hexp_frac_ooc,universal_coverage,education
CHN,1978,NA,NA,NA,NA,NA,930.13782,NA,2.724041827,NA,1038.1115,0.355604146,NA,NA,NA,4.759538928
CHN,1975,NA,NA,NA,NA,NA,861.6781,NA,3.010425022,NA,929.31543,0.33064346,NA,NA,NA,4.277900705
CHN,2018,0.981448782,0.872363781,0.791663305,3.635729122,0.990813968,13400.397,0.746285141,1.2049462,0.999154619,15901.354,0.723864127,760.0520794,0.32694883,0.718173035,10.28552954
CHN,2017,0.978165094,0.855574731,0.777950679,3.643028952,0.989049359,12664.595,0.702040931,1.459922718,0.999,15082.272,0.708475029,701.8082886,0.332539063,0.707452491,10.11237366
CHN,1985,0.567717373,0.141248235,0.511983401,2.088131161,0.416650012,1280.3116,0.17416083,3.018444441,0.736171895,1562.8733,0.397343631,78.81243771,0.601530463,0.449719026,5.883888785
CHN,1977,NA,NA,NA,NA,NA,897.98773,NA,2.752410181,NA,947.67767,0.347592906,NA,NA,NA,4.589880353
CHN,1976,NA,NA,NA,NA,NA,878.50287,NA,2.85005249,NA,919.12207,0.339648922,NA,NA,NA,4.430326261
CHN,2015,0.972853075,0.838155881,0.77189164,3.646841342,0.988340708,11099.942,0.68680963,1.471571495,0.999,13419.463,0.695411363,701.8082886,0.332539063,0.694551243,9.869747262
CHN,2016,0.975930896,0.848162301,0.778105715,3.646902931,0.9888729,11874.122,0.702040931,1.697215051,0.999,14236.726,0.694043881,701.8082886,0.332539063,0.700972186,9.992169589
CHN,1979,NA,NA,NA,NA,NA,964.14453,NA,2.741432662,NA,1082.0089,0.36303032,NA,NA,NA,4.92916512
CHN,1974,NA,NA,NA,NA,NA,839.61505,NA,3.259853056,NA,896.80383,0.318998653,NA,NA,NA,4.134872449
CHN,2019,0.983514556,0.883431961,0.801175114,3.630985656,0.991910558,14158.769,0.775420879,1.094497126,0.999251235,16751.811,0.734981813,805.1146007,0.322940476,0.725767648,10.45966438
CHN,2011,0.950637795,0.780182178,0.740434194,3.485531602,0.978838383,8154.4883,0.622435487,1.19807345,0.999,10332.652,0.67191218,493.2099304,0.347773819,0.669450291,9.366578347
CHN,1973,NA,NA,NA,NA,NA,819.82043,NA,3.582296481,NA,901.56213,0.306204591,NA,NA,NA,3.991337695
CHN,2010,0.943093049,0.763985136,0.732062694,3.370360132,0.971958263,7469.27,0.603880533,1.193925067,0.999,9516.5293,0.662141955,442.653717,0.352940102,0.6633181,9.236252434
CHN,2014,0.968879017,0.826122216,0.76506522,3.63263433,0.987379353,10338.963,0.671894406,1.317940264,0.999,12628.801,0.693366029,655.5367432,0.335764885,0.688189118,9.744967499
CHN,1986,0.603054038,0.156637576,0.520680903,2.113679073,0.439830705,1364.0656,0.184239161,3.036851231,0.747303691,1642.0364,0.405255054,83.88664491,0.594655563,0.454907596,6.03704725
CHN,2012,0.957614603,0.796258569,0.748946888,3.56310521,0.983141225,8862.5039,0.639405519,1.292831472,0.999,11072.322,0.678800725,555.7174072,0.343619728,0.675639174,9.494869109
CHN,1972,NA,NA,NA,NA,NA,794.33478,NA,3.889823403,NA,861.75165,0.293774308,NA,NA,NA,3.858119007
