"iso","country","gbdRegion","year","neoMR","postneoMR","age1_5MR","under5MR","neoDeaths","postneoDeaths","age1_5Deaths","under5Deaths"
"AFG","Afghanistan","Asia, South",1990,69.779999,48.990002,54.439999,163.52,48610,31213,32221,112044
"AFG","Afghanistan","Asia, South",1991,68.879997,48.040001,53.049999,160.64,50283,31883,32199,114365
"AFG","Afghanistan","Asia, South",1992,68.040001,47.110001,51.630001,157.78,52290,32824,32548,117662
"AFG","Afghanistan","Asia, South",1993,67.309998,46.380001,50.349998,155.35001,54518,33988,33193,121699
"AFG","Afghanistan","Asia, South",1994,66.5,45.669998,49.299999,153.05,56693,35316,34077,126086
"AFG","Afghanistan","Asia, South",1995,65.839996,45,48.189999,150.87,58887,36576,35164,130628
"AFG","Afghanistan","Asia, South",1996,65.25,44.330002,47.16,148.8,60950,37773,36276,134999
"AFG","Afghanistan","Asia, South",1997,64.550003,43.610001,46.279999,146.74001,62690,38854,37321,138864
"AFG","Afghanistan","Asia, South",1998,63.959999,42.919998,45.380001,144.78999,64290,39838,38318,142445
"AFG","Afghanistan","Asia, South",1999,63.209999,42.389999,44.610001,142.92999,65473,40722,39154,145349
"AGO","Angola","Sub-Saharan Africa, Central",1990,52.32,84.120003,120.08,236.25,29688,44755,56131,130575
"AGO","Angola","Sub-Saharan Africa, Central",1991,52.169998,83.589996,119.04,234.8,30356,45653,57173,133182
"AGO","Angola","Sub-Saharan Africa, Central",1992,51.919998,82.82,117.58,232.69,30903,46395,58290,135587
"AGO","Angola","Sub-Saharan Africa, Central",1993,51.41,81.82,115.68,229.77,31224,46934,59198,137356
"AGO","Angola","Sub-Saharan Africa, Central",1994,50.889999,80.410004,113.47,226.25,31475,47126,59756,138357
"AGO","Angola","Sub-Saharan Africa, Central",1995,50.119999,78.879997,110.78,221.98,31546,47165,60004,138715
"AGO","Angola","Sub-Saharan Africa, Central",1996,49.619999,77.290001,107.7,217.50999,31782,47025,59907,138714
"AGO","Angola","Sub-Saharan Africa, Central",1997,48.740002,75.32,104.38,212.2,31830,46873,59496,138200
"AGO","Angola","Sub-Saharan Africa, Central",1998,48.07,73.190002,100.74,206.62,32049,46505,58886,137439
