iso,country,gbdRegion,year,neoMR,postneoMR,age1_5MR,under5MR,neoDeaths,postneoDeaths,age1_5Deaths,under5Deaths
AFG,Afghanistan,"Asia, South",2010,56.029999,35.759998,34.66,121.33,74870,45189,40945,161004
AGO,Angola,"Sub-Saharan Africa, Central",2010,37.330002,47.029999,56.93,134.83,29747,36539,41858,108143
ALB,Albania,"Europe, Central",2010,3.6600001,8.3100004,3.24,15.14,173,394,153,720
AND,Andorra,"Europe, Western",2010,2.98,1.42,.46000001,4.8600001,3,1,0,5
ARE,United Arab Emirates,North Africa / Middle East,2010,2.4000001,.5,.090000004,2.98,153,32,7,192
ARG,Argentina,"Latin America, Southern",2010,8.1700001,3.8099999,.94999999,12.88,5659,2637,676,8972
ARM,Armenia,"Asia, Central",2010,11.57,5.75,2.1300001,19.35,555,276,106,937
ATG,Antigua and Barbuda,Caribbean,2010,8.2299995,4.04,1.58,13.8,49,31,14,94
AUS,Australia,Australasia,2010,2.75,1.52,.47999999,4.7399998,749,413,133,1295
AUT,Austria,"Europe, Western",2010,2.24,1.25,.38999999,3.8900001,170,95,31,297
AZE,Azerbaijan,"Asia, Central",2010,17.25,12.29,4.5700002,33.759998,2955,2111,791,5857
BDI,Burundi,"Sub-Saharan Africa, East",2010,31.17,35.75,68.989998,130.25,8987,10002,18111,37100
BEL,Belgium,"Europe, Western",2010,2.24,1.6799999,.43000001,4.3499999,270,202,55,527
BEN,Benin,"Sub-Saharan Africa, West",2010,29.370001,30.65,44.240002,100.74,10450,10684,14650,35783
BFA,Burkina Faso,"Sub-Saharan Africa, West",2010,31.57,38.740002,69.360001,133.64999,23696,28360,47162,99219
BGD,Bangladesh,"Asia, South",2010,31.290001,14.17,11.39,55.900002,106040,48108,40582,194730
BGR,Bulgaria,"Europe, Central",2010,5.3499999,4.1300001,1.27,10.72,390,301,93,784
BHR,Bahrain,North Africa / Middle East,2010,4.6500001,2.05,.68000001,7.3699999,66,29,11,106
BHS,Bahamas,Caribbean,2010,9.2299995,4.71,1.9,15.77,52,27,12,92
BIH,Bosnia and Herzegovina,"Europe, Central",2010,4.52,2.6199999,.76999998,7.8899999,154,90,27,271
BLR,Belarus,"Europe, Eastern",2010,5.71,3.5799999,1.1900001,10.45,549,343,116,1008
BLZ,Belize,Caribbean,2010,12.95,7.0100002,2.9200001,22.73,97,52,23,172
BOL,Bolivia,"Latin America, Andean",2010,19.309999,17.120001,10.98,46.68,5051,4446,2944,12441
BRA,Brazil,"Latin America, Tropical",2010,10.11,8.1599998,1.72,19.879999,29971,24291,5907,60169
BRB,Barbados,Caribbean,2010,6.3899999,3.0599999,1.1799999,10.6,18,9,4,31
BRN,Brunei Darussalam,"Asia Pacific, High Income",2010,4.3299999,2.23,.93000001,7.4699998,34,17,8,59
BTN,Bhutan,"Asia, South",2010,30.07,14.55,10.35,54.080002,448,217,161,827
BWA,Botswana,"Sub-Saharan Africa, Southern",2010,19.799999,16.280001,13.85,49.119999,947,770,664,2380
CAF,Central African Republic,"Sub-Saharan Africa, Central",2010,41.220001,50.18,53.52,138.06,6387,7511,7611,21509
CAN,Canada,"North America, High Income",2010,2.9200001,1.49,.46000001,4.8699999,1063,542,172,1777
CHE,Switzerland,"Europe, Western",2010,2.6199999,1.16,.44,4.21,191,85,34,309
CHL,Chile,"Latin America, Southern",2010,3.8199999,2.0999999,.56999999,6.48,969,534,156,1659
CHN,China,"Asia, East",2010,9.4399996,4.6799998,1.34,15.4,174497,86253,25247,285996
CIV,Côte d'Ivoire,"Sub-Saharan Africa, West",2010,36.599998,35.619999,39.200001,107.33,26910,25504,26903,79317
CMR,Cameroon,"Sub-Saharan Africa, West",2010,33.75,33.669998,51.5,114.37,24175,23499,34383,82057
COD,"Congo, the Democratic Republic of the","Sub-Saharan Africa, Central",2010,32.610001,47.099998,57.459999,131.14,96938,135942,155665,388545
COG,Congo,"Sub-Saharan Africa, Central",2010,29.700001,37.689999,44.200001,107.53,3751,4618,5169,13538
COL,Colombia,"Latin America, Central",2010,8.5799999,5,1.8099999,15.31,7865,4599,1857,14321
COM,Comoros,"Sub-Saharan Africa, East",2010,29.219999,20.469999,13.1,61.540001,633,439,283,1355
CPV,Cape Verde,"Sub-Saharan Africa, West",2010,12.99,9.3900003,10.31,32.330002,156,113,130,399
CRI,Costa Rica,"Latin America, Central",2010,5.3099999,2.95,.44999999,8.6899996,405,226,39,671
CUB,Cuba,Caribbean,2010,2.8399999,1.74,.68000001,5.25,327,201,85,613
